number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_ub-actions,params_ub-frames,params_weight-decay,state
34,0.5464258998632431,2025-03-02 13:13:27.052989,2025-03-02 13:14:42.805534,0 days 00:01:15.752545,0.552347819253697,0.454447609688545,8,0.001353788423123196,0.04442541060361851,0.032099602048112685,0.03421975512348767,0.04058561703050448,0.08780436054445853,6.824688064309714e-05,22,16,0.021034099934721565,0.18026666004746295,False,True,3.455860376306928e-05,COMPLETE
35,0.6545735090970993,2025-03-02 13:14:42.808536,2025-03-02 13:16:26.407647,0 days 00:01:43.599111,0.3068387087492336,0.48122731969859145,8,0.01298030906987642,0.054383124898316045,0.04398138512214665,0.04970819556030954,0.007732255012298912,0.09746297790296099,0.0001687902973196991,29,9,0.009261243477612584,0.22471354579222566,False,False,0.00013604769765151992,COMPLETE
36,0.6497912645339966,2025-03-02 13:16:26.410720,2025-03-02 13:17:43.495787,0 days 00:01:17.085067,0.6083514164770926,0.5320532338974188,8,0.007351389559035023,0.018393017677558826,0.010729060498786946,0.04154856853480803,0.023525020516499906,0.08142486657208832,0.0019909535798849874,23,12,0.027778030789590315,0.26695442811410913,False,True,2.363832668841333e-05,COMPLETE
37,0.5538904875516892,2025-03-02 13:17:43.498976,2025-03-02 13:19:19.378081,0 days 00:01:35.879105,0.6962221093571451,0.788560377800338,8,0.015526090742431265,0.02777592702293346,0.0648956349881906,0.05558027120392431,0.012772400364396768,0.06906177139631375,0.0004117495598246507,25,22,0.038614628216361406,0.2493069055833258,False,False,1.1075815019181442e-05,COMPLETE
38,0.6212689697742462,2025-03-02 13:19:19.381262,2025-03-02 13:20:37.866426,0 days 00:01:18.485164,0.29018364630728466,0.3692347456497824,8,0.03238115252155924,0.010216614323093128,0.020327002734008275,0.028330160286949655,0.03466083508832126,0.02020235363046662,5.7215634030740284e-05,24,7,0.017709449268205064,0.0950845786063598,False,True,5.155681640340262e-05,COMPLETE
39,0.6371584564447403,2025-03-02 13:20:37.869479,2025-03-02 13:21:50.948034,0 days 00:01:13.078555,0.5317800004790083,0.42738219232532404,8,0.09177713209859363,0.0012899205736110753,0.03541122390118394,0.0463561041346998,0.04565850832289153,0.09197306151775246,0.023710955606082634,21,5,0.023885320099332107,0.2155860631848716,False,True,3.0384708816697695e-05,COMPLETE
40,0.571467188000679,2025-03-02 13:21:50.951118,2025-03-02 13:23:17.590003,0 days 00:01:26.638885,0.24741706169093097,0.5944413172865503,8,0.04429371178089529,0.04015170913115576,0.057318015955239415,0.014801674553832878,0.005121043931653219,0.04528348145349357,0.0008725980661066339,26,10,0.006799259820585938,0.27630136491906104,False,True,0.0007751272320003948,COMPLETE
41,0.6541472405195236,2025-03-02 13:23:17.593156,2025-03-02 13:24:33.627593,0 days 00:01:16.034437,0.6887351378524028,0.5077688160492912,8,0.009061249185004018,0.029033346038668556,0.03875690230635069,0.06246789261904069,0.010360980518135483,0.08460615943669447,3.344654952012509e-05,23,7,0.011735402913147813,0.24321471040629072,False,True,1.6499170655830564e-05,COMPLETE
42,0.6497918605804444,2025-03-02 13:24:33.630906,2025-03-02 13:25:49.852015,0 days 00:01:16.221109,0.623302924424344,0.4830721044139289,8,0.021389387433654643,0.031672745684069935,0.04855123918084276,0.060606964313848974,0.018210280674892595,0.09544072248934109,1.0831317089000556e-05,23,6,0.006729018672083673,0.2354196591863212,False,True,1.7408406986575466e-05,COMPLETE
43,0.6432030111551285,2025-03-02 13:25:49.855404,2025-03-02 13:27:01.512696,0 days 00:01:11.657292,0.5839901010838936,0.5264236821814716,8,0.005555568630564367,0.02165441362477684,0.036638918712817034,0.06684311585315991,0.004392538777636757,0.07990441399470787,4.407503442357057e-05,20,4,0.030702288907367984,0.21157152275888053,False,True,9.183849274571775e-06,COMPLETE
44,0.648510092496872,2025-03-02 13:27:01.515909,2025-03-02 13:28:19.788456,0 days 00:01:18.272547,0.6838956601211224,0.6482121812948686,8,0.015452861040374131,0.04088536345963206,0.028672075576301397,0.038851411254847645,0.014962114023321217,0.08803224213145694,2.0953956230855434e-05,24,8,0.013257228049041789,0.1883508777982429,False,True,9.510984066613565e-05,COMPLETE
