script_name,f1_full,f1_per,miou_full,miou_per,mof_full,mof_per
stone_pick_random_pixels.sh,0.6047452092170715,0.731890857219696,0.48225006461143494,0.5992793440818787,0.6302149295806885,0.7048282623291016
stone_pick_random_symbolic.sh,0.6211413145065308,0.6854327321052551,0.33739203214645386,0.4275459945201874,0.5078299641609192,0.5839210152626038
wsws_static_pixels.sh,0.9717999696731567,0.9805998802185059,0.5577495694160461,0.5679360628128052,0.7562220692634583,0.7608985304832458
wsws_static_symbolic.sh,0.9612000584602356,0.9501999616622925,0.4963339567184448,0.5224606990814209,0.7025112509727478,0.7217261791229248
wsws_static_pixels_big_actions.sh,0.6564800143241882,0.6703068017959595,0.32776251435279846,0.4084824323654175,0.502167284488678,0.5900577902793884
wsws_static_pixels_actions.sh,0.9804666638374329,0.9755998849868774,0.577322244644165,0.5897951722145081,0.733248233795166,0.7428022027015686
wsws_static_symbolic_big.sh,0.6085599660873413,0.7204801440238953,0.33329978585243225,0.4102739691734314,0.5027244687080383,0.5860775709152222
wsws_static_symbolic_big_actions.sh,0.9048932790756226,0.9009863138198853,0.4594461917877197,0.4904533922672272,0.660352885723114,0.6855871081352234
wsws_static_pixels_big.sh,0.6667466163635254,0.6667458415031433,0.2893146872520447,0.298822820186615,0.5776389837265015,0.5968459248542786
wsws_static_symbolic_actions.sh,0.9410666823387146,0.9395332932472229,0.47844937443733215,0.5029726028442383,0.6831938028335571,0.702400803565979
